Column	key	total_citesOrg	URL_Citaciones	Actualizaciones	Incremento_Actualizacion	Cambios_Datos	Indexacion_MesAnterior	IPT	numberOfRecords	nombrecorto	type	organization	title	DOI_URL	created	year	month	day	modified	year-mod	month-mod	day-mod	version	NombreCorto_Org	Logo	typeOrg	publishingOrganizationKey	URLSocio
2180	55d3f041-5cd7-45cf-99e0-80cddfd035d7	406	https://www.gbif.org/resource/search?contentType=literature&publishingOrganizationKey=7a079928-aee9-418a-b083-6152d01c78d6		0.0	1	8284.0	sib	8284.0	eloy_valenzuela	Registros biologicos	CDMB - Corporación Autónoma Regional Para la Defensa de la Meseta de Bucaramanga	Herbario CDMB - Jardín Botánico Eloy Valenzuela	http://doi.org/10.15472/etacng	2013-05-17	2013	05	17	2020-12-22	2020	12	22	9.6	CDMB	https://raw.githubusercontent.com/SIB-Colombia/logos/main/socio-SiB-cdmb.png	Autoridades Ambientales	7a079928-aee9-418a-b083-6152d01c78d6	http://www.gbif.org/publisher/7a079928-aee9-418a-b083-6152d01c78d6
2181	09bbd7cb-afe7-4c98-a2a9-1f1081a82d19	258	https://www.gbif.org/resource/search?contentType=literature&publishingOrganizationKey=a2f1c6f5-88de-4fc5-891a-336259f32f4e		0.0	1	279.0	sib	279.0	dieta_sleucogaster_gorgona_2006	Registros biologicos	Asociación para el estudio y conservación de las aves acuáticas en Colombia - Calidris	Dieta del Piquero Café (Sula leucogaster etesiaca) en el Parque Nacional Natural Gorgona, Pacífico colombiano.	http://doi.org/10.15472/05ugby	2013-05-17	2013	05	17	2018-05-31	2018	05	31	6.4	CALIDRIS	https://raw.githubusercontent.com/SIB-Colombia/logos/main/socio-SiB-calidris.png	ONG	a2f1c6f5-88de-4fc5-891a-336259f32f4e	http://www.gbif.org/publisher/a2f1c6f5-88de-4fc5-891a-336259f32f4e
2182	d79d388c-1f0e-49cb-80d7-93a47d7b5fd3	206	https://www.gbif.org/resource/search?contentType=literature&publishingOrganizationKey=1447752d-0ee4-4951-a0fb-b1f2acb977af			1		sib		av_narino	Listas de especies	Asociación GAICA	Aves del departamento de Nariño, Colombia	http://doi.org/10.15472/pw6phy	2013-05-14	2013	05	14	2021-08-02	2021	08	02	3.0	GAICA	https://raw.githubusercontent.com/SIB-Colombia/logos/main/socio-SiB-gaica.png	ONG	1447752d-0ee4-4951-a0fb-b1f2acb977af	http://www.gbif.org/publisher/1447752d-0ee4-4951-a0fb-b1f2acb977af
2183	66bd3ed0-4fed-442c-ac0b-17c860583d43	163	https://www.gbif.org/resource/search?contentType=literature&publishingOrganizationKey=c3da1f49-b2c8-4751-b72f-28855546ec4c		0.0	1	215.0	sib	215.0	epifitas_forofitos	Registros biologicos	Oleoducto Bicentenario	Rescate de epífitas Oleoducto Bicentenario, Tramo Araguaney - Banadía (forófitos)	http://doi.org/10.15472/94hkzp	2013-05-10	2013	05	10	2021-01-27	2021	01	27	11.2	Oleoducto Bicentenario	https://raw.githubusercontent.com/SIB-Colombia/logos/main/socio-SiB-bicentenario.png	Empresas	c3da1f49-b2c8-4751-b72f-28855546ec4c	http://www.gbif.org/publisher/c3da1f49-b2c8-4751-b72f-28855546ec4c
2184	8729d481-6cf8-4f36-b701-bd423bbd1d9f	163	https://www.gbif.org/resource/search?contentType=literature&publishingOrganizationKey=c3da1f49-b2c8-4751-b72f-28855546ec4c		0.0	1	915.0	sib	915.0	epifitas_oleoducto	Registros biologicos	Oleoducto Bicentenario	Rescate de epífitas Oleoducto Bicentenario, Tramo Araguaney - Banadía (rescate)	http://doi.org/10.15472/jgypjv	2013-05-10	2013	05	10	2021-02-01	2021	02	01	9.5	Oleoducto Bicentenario	https://raw.githubusercontent.com/SIB-Colombia/logos/main/socio-SiB-bicentenario.png	Empresas	c3da1f49-b2c8-4751-b72f-28855546ec4c	http://www.gbif.org/publisher/c3da1f49-b2c8-4751-b72f-28855546ec4c
2185	882d7a23-109d-4969-b0e4-d97286cf4fb6	163	https://www.gbif.org/resource/search?contentType=literature&publishingOrganizationKey=c3da1f49-b2c8-4751-b72f-28855546ec4c		0.0	1	944.0	sib	944.0	epifitas_siembra	Registros biologicos	Oleoducto Bicentenario	Rescate de epífitas Oleoducto Bicentenario, Tramo Araguaney - Banadía (siembra)	http://doi.org/10.15472/vss6w2	2013-05-10	2013	05	10	2021-03-17	2021	03	17	10.5	Oleoducto Bicentenario	https://raw.githubusercontent.com/SIB-Colombia/logos/main/socio-SiB-bicentenario.png	Empresas	c3da1f49-b2c8-4751-b72f-28855546ec4c	http://www.gbif.org/publisher/c3da1f49-b2c8-4751-b72f-28855546ec4c
2186	0c293704-8a60-4da4-b64d-2f6679794753	140	https://www.gbif.org/resource/search?contentType=literature&publishingOrganizationKey=e144e6ee-503e-4bd9-9eff-f2fc77473642		0.0	1	327.0	sib	327.0	coleccion-palmas-colombia	Registros biologicos	Jardín Botánico del Quindío	Colección nacional de palmas de Colombia - JBQ	http://doi.org/10.15472/1rhjvl	2013-04-25	2013	04	25	2020-12-10	2020	12	10	5.4	JBQ	https://raw.githubusercontent.com/SIB-Colombia/logos/main/socio-SiB-jbq.png	ONG	e144e6ee-503e-4bd9-9eff-f2fc77473642	http://www.gbif.org/publisher/e144e6ee-503e-4bd9-9eff-f2fc77473642
2187	cc28549b-467f-448c-875e-881ca507aba8	691	https://www.gbif.org/resource/search?contentType=literature&publishingOrganizationKey=cccff716-2694-4209-9f9e-2f7a484465a0		0.0	1	8195.0	sib	8195.0	mhua-a	Registros biologicos	Universidad de Antioquia	Colección de anfibios - Museo de Herpetología de la Universidad de Antioquia	http://doi.org/10.15472/zn2bkv	2013-04-01	2013	04	01	2021-03-16	2021	03	16	7.3	UdeA	https://raw.githubusercontent.com/SIB-Colombia/logos/main/socio-SiB-udea.png	Academia	cccff716-2694-4209-9f9e-2f7a484465a0	http://www.gbif.org/publisher/cccff716-2694-4209-9f9e-2f7a484465a0
2188	b5b0b716-566e-4f29-81a1-15e9f42465b2	216	https://www.gbif.org/resource/search?contentType=literature&publishingOrganizationKey=05827c69-a802-472f-bbe3-76629dfd57a7		0.0	1	221.0	sib	221.0	almacienagas2012	Registros biologicos	Fundación Alma	Caracterización florística de las ciénagas en Gamarra y Barrancabermeja de 2012	http://doi.org/10.15472/dp6wp0	2013-03-22	2013	03	22	2022-01-19	2022	01	19	3.4	Fund. Alma	https://raw.githubusercontent.com/SIB-Colombia/logos/main/socio-SiB-alma.png	ONG	05827c69-a802-472f-bbe3-76629dfd57a7	http://www.gbif.org/publisher/05827c69-a802-472f-bbe3-76629dfd57a7
2189	a71b5b32-ea26-447e-bcc7-ad7a421aa96a	260	https://www.gbif.org/resource/search?contentType=literature&publishingOrganizationKey=00a915e7-b4e2-4795-bcbf-45e4dda0e927		0.0	1	45.0	sib	45.0	guayacanal-parcelasmartos	Registros biologicos	Fundación Estación Biológica Guayacanal	Parcela Permanente en el Pantano Martos	http://doi.org/10.15472/ldz9w0	2013-03-14	2013	03	14	2018-01-16	2018	01	16	4.1	Fund. Guayacanal	https://raw.githubusercontent.com/SIB-Colombia/logos/main/socio-SiB-guayacanal.png	ONG	00a915e7-b4e2-4795-bcbf-45e4dda0e927	http://www.gbif.org/publisher/00a915e7-b4e2-4795-bcbf-45e4dda0e927
